name,position,clubCode,clubName,basePrice,tierLabel,goals,assists,ownedBy,departed,departedNote
Ballard,DEF,SUN,Sunderland,4,2,2,2,,False,
Bamba,MID,NEW,Newcastle,4,2,0,0,,False,
Barco,MID,CHE,Chelsea,6,2,0,0,,False,
Barcola,MID,LIV,Liverpool,8,1,0,0,,False,
Barkley,MID,AVL,Aston Villa,4,1,3,2,,False,
Barnes,MID,NEW,Newcastle,6,2,7,1,,False,
Barry,FWD,EVE,Everton,6,2,8,0,Bane of Isakstence,False,
Bassette,FWD,COV,Coventry City,4,3,0,0,,True,Has joined KVC Westerlo on loan for the rest of the season
Bassey,DEF,FUL,Fulham,4,2,1,1,,False,
Bayindir,GK,MUN,Man Utd,4,1,0,0,,True,Has joined Celta Vigo on loan for the rest of the season
Belloumi,MID,HUL,Hull City,4,3,0,0,,False,
Benda,GK,NFO,Nott'm Forest,4,3,0,0,,False,
Bendito Mantato,MID,MUN,Man Utd,4,1,0,0,,False,
Benitez,GK,CRY,Crystal Palace,4,3,0,0,,False,
Bentancur,MID,TOT,Spurs,6,3,1,1,,False,
Bentley,GK,COV,Coventry City,4,3,0,0,,False,
Berge,MID,FUL,Fulham,4,2,0,3,,False,
Bergvall,MID,TOT,Spurs,6,3,1,3,,False,
Beto,FWD,EVE,Everton,4,2,9,1,,False,
Bettinelli,GK,MCI,Man City,4,1,0,0,,False,
Bidwell,DEF,COV,Coventry City,4,3,0,0,,False,
Bijol,DEF,LEE,Leeds,4,2,1,3,,False,
Bindon,DEF,NFO,Nott'm Forest,4,3,0,0,,True,Has joined Charlton Athletic on loan for the rest of the season
Bobb,MID,FUL,Fulham,6,2,0,2,,False,
Bogarde,MID,AVL,Aston Villa,4,1,0,0,,False,
Bogle,DEF,LEE,Leeds,4,2,1,5,,False,
Borges Rodrigues,MID,COV,Coventry City,4,3,0,0,,False,
Bornauw,DEF,LEE,Leeds,4,2,0,0,,True,Has joined Hamburg SV on loan for the rest of the season
Boscagli,DEF,BHA,Brighton,4,2,0,1,,False,
Botman,DEF,NEW,Newcastle,4,2,1,1,,False,
Bouaddi,MID,MCI,Man City,6,1,0,0,,False,
Bradley,DEF,LIV,Liverpool,4,1,0,2,,False,
Braithwaite,DEF,MCI,Man City,4,1,0,0,,False,
Branthwaite,DEF,EVE,Everton,6,2,1,1,,False,
Brau,DEF,COV,Coventry City,4,3,0,0,,True,Has joined Academico de Viseu on loan for the rest of the season
Brobbey,FWD,SUN,Sunderland,6,2,7,2,M³: Maestro Marauders Magic,False,
Brooks,MID,BOU,Bournemouth,4,1,1,3,,False,
Bruno G.,MID,ARS,Arsenal,8,1,9,7,Thala aur Xabi,False,
Buendía,MID,AVL,Aston Villa,6,1,6,2,,False,
Buonanotte,MID,BHA,Brighton,4,2,0,0,,True,Has joined Elche on loan for the rest of the season
Burn,DEF,NEW,Newcastle,4,2,1,3,,False,
Burns,MID,IPS,Ipswich Town,4,3,0,1,,True,Has joined Leicester City permanently
Burrowes,MID,AVL,Aston Villa,4,1,0,0,,False,
Burstow,FWD,HUL,Hull City,4,3,0,0,,True,Has joined Sheffield Wednesday on loan for the rest of the season
Butland,GK,HUL,Hull City,4,3,0,0,,False,
Button,GK,IPS,Ipswich Town,4,3,0,0,,False,
Byfield,DEF,TOT,Spurs,4,3,0,0,,False,
C.Jones,MID,LIV,Liverpool,6,1,1,3,,True,Has joined Internazionale permanently
Caicedo,MID,CHE,Chelsea,4,2,3,1,,False,
Cairney,MID,FUL,Fulham,4,2,2,0,,False,
Cairns,GK,LEE,Leeds,4,2,0,0,,False,
Calafiori,DEF,ARS,Arsenal,6,1,1,2,Thala aur Xabi,False,
Calvert-Lewin,FWD,LEE,Leeds,6,2,14,2,Thala aur Xabi,False,
Canvot,DEF,CRY,Crystal Palace,4,3,0,0,,False,
Cardines,DEF,CRY,Crystal Palace,4,3,0,0,,True,Has joined Bristol City on loan for the rest of the season
Cartwright,GK,HUL,Hull City,4,3,0,0,,True,Has joined Grimsby Town on loan for the rest of the season
Carvalho,MID,BRE,Brentford,4,2,1,0,,False,
Cash,DEF,AVL,Aston Villa,4,1,3,3,,False,
Castagne,DEF,FUL,Fulham,4,2,0,2,,False,
Chadi Riad,DEF,CRY,Crystal Palace,4,3,0,1,,False,
Chalobah,DEF,CHE,Chelsea,6,2,3,1,,True,Has joined Como permanently
Charles,MID,FUL,Fulham,4,2,0,0,,False,
Chavarria,DEF,CHE,Chelsea,4,2,0,0,,False,
Cherif,FWD,COV,Coventry City,4,3,0,0,,False,
Cherki,MID,MCI,Man City,8,1,4,13,RSS,False,
Chiesa,MID,LIV,Liverpool,4,1,2,1,,False,
Cho,MID,HUL,Hull City,4,3,0,0,,False,
Christie,MID,BOU,Bournemouth,4,1,2,1,,False,
Clarke,MID,IPS,Ipswich Town,6,3,0,4,,False,
Collins,DEF,BRE,Brentford,6,2,1,2,,False,
Collyer,MID,MUN,Man Utd,4,1,0,0,,True,Has joined West Brom permanently
Colwill,DEF,CHE,Chelsea,4,2,0,0,,False,
Cook,MID,BOU,Bournemouth,4,1,0,1,,False,
Coppola,DEF,BHA,Brighton,4,2,0,0,,False,
Costinha,DEF,BHA,Brighton,4,2,0,0,,False,
Coyle,DEF,HUL,Hull City,4,3,0,0,,False,
Cozier-Duberry,MID,BHA,Brighton,4,2,0,0,,False,
Cresswell,MID,LEE,Leeds,4,2,0,0,,False,
Crooks,MID,HUL,Hull City,4,3,0,0,,False,
Cunha,MID,MUN,Man Utd,8,1,10,4,RSS,False,
D.Essugo,MID,CHE,Chelsea,4,2,0,0,,False,
Dalot,DEF,MUN,Man Utd,4,1,1,6,,False,
Damsgaard,MID,BRE,Brentford,6,2,4,4,,False,
Danns,FWD,LIV,Liverpool,4,1,0,0,,False,
Danso,DEF,TOT,Spurs,4,3,0,0,,False,
Darlow,GK,MUN,Man Utd,4,1,0,0,,False,
Dasilva,DEF,COV,Coventry City,4,3,0,0,,False,
Dasilva,MID,BRE,Brentford,4,2,0,0,,False,
David,FWD,BHA,Brighton,6,2,0,0,,False,
Davies,GK,LIV,Liverpool,4,1,0,0,,False,
Davies,DEF,TOT,Spurs,4,3,1,0,,False,
Davis,DEF,IPS,Ipswich Town,4,3,1,2,,False,
De Cuyper,DEF,BHA,Brighton,4,2,2,3,,False,
De Fougerolles,DEF,FUL,Fulham,4,2,0,0,,False,
De Ligt,DEF,MUN,Man Utd,4,1,1,0,,False,
Dedić,DEF,NEW,Newcastle,4,2,0,0,,False,
Delap,FWD,NFO,Nott'm Forest,6,3,1,2,,False,
Dennis,GK,BOU,Bournemouth,4,1,0,0,,True,Has joined MK Dons permanently
Destan,FWD,HUL,Hull City,4,3,0,0,,True,Has joined Konyaspor permanently
Devenny,MID,CRY,Crystal Palace,4,3,1,0,,False,
Dewsbury-Hall,MID,EVE,Everton,8,2,8,7,Cain & Abel,False,
Di Gregorio,GK,BOU,Bournemouth,4,1,0,0,,False,
Diakité,DEF,BOU,Bournemouth,4,1,0,0,,False,
Diarra,MID,SUN,Sunderland,6,2,2,6,,False,
Dibling,MID,EVE,Everton,4,2,0,0,,False,
Digne,DEF,AVL,Aston Villa,4,1,0,7,,True,Has joined Paris Saint-Germain permanently
Diomande,DEF,NFO,Nott'm Forest,6,3,0,0,,False,
Diop,DEF,IPS,Ipswich Town,4,3,1,0,,False,
Diouf,DEF,BRE,Brentford,4,2,0,6,,False,
Disasi,DEF,CRY,Crystal Palace,4,3,0,0,,False,
Doku,MID,MCI,Man City,8,1,5,8,Pune Paltan,False,
Dominguez,MID,NFO,Nott'm Forest,4,3,1,1,,False,
Donnarumma,GK,MCI,Man City,6,1,0,0,Revenge of the Fallen,False,
Dorgu,MID,MUN,Man Utd,6,1,4,4,,False,
Doucouré,MID,CRY,Crystal Palace,4,3,0,0,,False,
Dovin,GK,COV,Coventry City,4,3,0,0,,False,
Dowell,MID,HUL,Hull City,4,3,1,1,,False,
Dowman,MID,ARS,Arsenal,4,1,1,1,,False,
Drakes-Thomas,MID,CRY,Crystal Palace,4,3,0,0,,False,
Drameh,DEF,HUL,Hull City,4,3,0,0,,False,
Dubravka,GK,TOT,Spurs,4,3,0,0,,False,
Dunk,DEF,BHA,Brighton,4,2,1,1,,False,
E.Le Fée,MID,SUN,Sunderland,6,2,5,6,,False,
Eccles,MID,COV,Coventry City,4,3,0,0,,False,
Echeverri,MID,MCI,Man City,4,1,0,0,,False,
Egan,DEF,HUL,Hull City,4,3,0,0,,False,
Ekitiké,FWD,LIV,Liverpool,8,1,11,4,,False,
Elanga,MID,NEW,Newcastle,6,2,0,1,Revenge of the Fallen,False,
Ellborg,GK,SUN,Sunderland,4,2,0,0,,False,
Elliott,MID,LIV,Liverpool,4,1,0,0,,False,
Elvedi,DEF,LEE,Leeds,4,2,0,0,,False,
Emegha,FWD,CHE,Chelsea,4,2,0,0,,False,
Emersonn,FWD,IPS,Ipswich Town,6,3,0,0,,False,
Enciso,MID,IPS,Ipswich Town,6,3,0,0,,False,
Endo,MID,LIV,Liverpool,4,1,0,1,,False,
Enes Ünal,FWD,BOU,Bournemouth,6,1,1,0,,True,Has joined Getafe permanently
Enzo,MID,CHE,Chelsea,8,2,10,5,Pune Paltan,False,
Esse,MID,CRY,Crystal Palace,4,3,0,0,,False,
Estêvão,MID,CHE,Chelsea,6,2,2,5,,False,
Evanilson,FWD,BOU,Bournemouth,6,1,6,7,M³: Maestro Marauders Magic,False,
Eze,MID,ARS,Arsenal,6,1,7,3,,False,
F.Kadıoğlu,DEF,BHA,Brighton,4,2,1,2,,False,
Fatawu,MID,IPS,Ipswich Town,6,3,0,2,,False,
Ferguson,FWD,BHA,Brighton,4,2,0,0,,False,
Fernandes,MID,TOT,Spurs,6,3,3,4,,False,
Fletcher,MID,MUN,Man Utd,4,1,0,0,,False,
Florentino,MID,IPS,Ipswich Town,4,3,0,2,,False,
Foden,MID,MCI,Man City,8,1,7,5,Annoying Sabui,False,
Fofana,DEF,CHE,Chelsea,4,2,0,2,,False,
Forster,GK,BOU,Bournemouth,4,1,0,0,,False,
Fredricson,DEF,MUN,Man Utd,4,1,0,0,,True,Has joined Lausanne-Sport permanently
Frimpong,DEF,LIV,Liverpool,6,1,0,5,RSS,False,
Furlong,DEF,IPS,Ipswich Town,4,3,1,3,,False,
Furo,FWD,BRE,Brentford,4,2,0,0,,False,
Fábio Vieira,MID,ARS,Arsenal,6,1,0,0,,False,
G.Jesus,FWD,ARS,Arsenal,6,1,3,0,,False,
Gabriel,DEF,ARS,Arsenal,8,1,3,5,Pune Paltan,False,
Gakpo,MID,LIV,Liverpool,8,1,7,5,Thala aur Xabi,False,
Gallagher,MID,TOT,Spurs,4,3,1,1,,False,
Gannon-Doak,MID,BOU,Bournemouth,4,1,0,1,,False,
Garnacho,MID,AVL,Aston Villa,6,1,1,4,,False,
Garner,MID,EVE,Everton,6,2,2,7,,False,
Gelhardt,MID,HUL,Hull City,4,3,0,0,,False,
George,MID,EVE,Everton,6,2,0,0,,False,
George Hemmings,MID,AVL,Aston Villa,4,1,0,0,,False,
Georginio,FWD,BHA,Brighton,6,2,3,5,,False,
Gibbs-White,MID,NFO,Nott'm Forest,8,3,15,4,Toxic Xhak-fruit,False,
Giles,DEF,HUL,Hull City,4,3,0,0,,False,
Gillespie,GK,NEW,Newcastle,4,2,0,0,,False,
Gittens,MID,CHE,Chelsea,6,2,0,2,,False,
Gnonto,MID,LEE,Leeds,4,2,0,3,,False,
Gomes,MID,AVL,Aston Villa,6,1,1,2,,False,
Gomez,DEF,LIV,Liverpool,4,1,0,2,,False,
Gomez,MID,BHA,Brighton,4,2,5,1,,False,
Gonzalo,FWD,FUL,Fulham,6,2,0,0,,False,
Goretzka,MID,AVL,Aston Villa,6,1,0,0,,False,
Gourna-Douath,MID,HUL,Hull City,4,3,0,0,,False,
Gozo,MID,CRY,Crystal Palace,4,3,0,0,,False,
Gravenberch,MID,LIV,Liverpool,6,1,5,5,,False,
Gray,MID,TOT,Spurs,4,3,2,2,,False,
Grealish,MID,MCI,Man City,8,1,2,6,,False,
Greaves,DEF,IPS,Ipswich Town,4,3,1,0,,False,
Grimes,MID,COV,Coventry City,4,3,0,0,,False,
Groß,MID,BHA,Brighton,6,2,1,6,,False,
Gruev,MID,LEE,Leeds,4,2,0,4,,False,
Gudmundsson,DEF,LEE,Leeds,4,2,0,0,,False,
Guessand,MID,CRY,Crystal Palace,6,3,1,3,,False,
Gusto,DEF,CHE,Chelsea,4,2,2,3,,False,
Guéhi,DEF,MCI,Man City,6,1,3,5,,False,
Gvardiol,DEF,MCI,Man City,6,1,2,2,Toxic Xhak-fruit,False,
Gyabi,MID,HUL,Hull City,4,3,0,0,,False,
Gyökeres,FWD,ARS,Arsenal,8,1,14,1,RSS,False,
Haaland,FWD,MCI,Man City,12,1,27,8,Patchwork FC,False,
Hackney,MID,EVE,Everton,6,2,0,0,,False,
Hadjam,DEF,BHA,Brighton,4,2,0,0,,False,
Hall,DEF,NEW,Newcastle,4,2,1,2,Bane of Isakstence,False,
Hamer,MID,COV,Coventry City,6,3,4,7,,False,
Harrison,MID,LEE,Leeds,4,2,0,0,,True,Has joined New England Revolution permanently
Hato,DEF,CHE,Chelsea,4,2,0,0,,False,
Havertz,FWD,ARS,Arsenal,8,1,2,3,Toxic Xhak-fruit,False,
Heaton,GK,MUN,Man Utd,4,1,0,0,,False,
Heaven,DEF,MUN,Man Utd,4,1,0,1,,False,
Henderson,GK,CRY,Crystal Palace,4,3,0,0,,False,
Henderson,MID,CHE,Chelsea,4,2,1,3,,False,
Henry,DEF,BRE,Brentford,4,2,0,2,,False,
Herrington,DEF,HUL,Hull City,4,3,0,0,,False,
Hickey,DEF,BRE,Brentford,4,2,0,0,,False,
Hill,DEF,BOU,Bournemouth,6,1,0,3,,False,
Hincapie,DEF,ARS,Arsenal,4,1,1,2,,False,
Hinshelwood,MID,BHA,Brighton,6,2,4,5,,False,
Hirst,FWD,IPS,Ipswich Town,4,3,3,1,,True,Has joined Stoke City permanently
Hjelde,DEF,SUN,Sunderland,4,2,0,0,,True,Has joined KV Mechelen on loan for the rest of the season
Hjertø-Dahl,MID,HUL,Hull City,4,3,0,0,,False,
Horníček,GK,NEW,Newcastle,4,2,0,0,,False,
Howell,MID,BHA,Brighton,4,2,0,0,,True,Has joined Leicester City on loan for the rest of the season
Hudson-Odoi,MID,NFO,Nott'm Forest,6,3,3,4,,False,
Hughes,MID,CRY,Crystal Palace,4,3,0,1,,False,
Hughes,DEF,HUL,Hull City,4,3,0,0,,False,
Hume,DEF,SUN,Sunderland,4,2,2,1,,False,
Humphreys,MID,IPS,Ipswich Town,4,3,0,0,,False,
Hutchinson,MID,NFO,Nott'm Forest,4,3,1,7,,True,Has joined AC Milan on loan for the rest of the season
I.Sangaré,MID,NFO,Nott'm Forest,4,3,2,2,,False,
Igor,DEF,BHA,Brighton,4,2,0,0,,False,
Igor Jesus,FWD,NFO,Nott'm Forest,6,3,6,6,Cain & Abel,False,
Iling Jr,MID,AVL,Aston Villa,4,1,0,0,,True,Has joined Bolton Wanderers on loan for the rest of the season
Iroegbunam,MID,EVE,Everton,4,2,0,3,,False,
Isak,FWD,LIV,Liverpool,12,1,3,1,Bane of Isakstence,False,
Isidor,FWD,SUN,Sunderland,6,2,6,1,,False,
Iwobi,MID,FUL,Fulham,6,2,4,3,,False,
J.Araujo,DEF,BOU,Bournemouth,4,1,0,0,,False,
J.Cuenca,DEF,FUL,Fulham,4,2,0,0,,False,
J.Fletcher,MID,MUN,Man Utd,4,1,0,0,,False,
J.Murphy,MID,NEW,Newcastle,6,2,3,2,,False,
J.Rak-Sakyi,MID,CRY,Crystal Palace,4,3,0,0,,False,
J.Ramsey,MID,NEW,Newcastle,4,2,2,3,,False,
J.Timber,DEF,ARS,Arsenal,8,1,3,6,,False,
Jacob,DEF,HUL,Hull City,4,3,0,0,,False,
Jacquet,DEF,LIV,Liverpool,4,1,0,0,,False,
Jair Cunha,DEF,NFO,Nott'm Forest,4,3,0,0,,False,
James,DEF,CHE,Chelsea,6,2,2,6,M³: Maestro Marauders Magic,False,
James,MID,LEE,Leeds,4,2,0,0,,False,
Janelt,MID,BRE,Brentford,4,2,1,4,,False,
Jaouen,GK,NEW,Newcastle,4,2,0,0,,False,
Jaros,GK,LIV,Liverpool,4,1,0,0,,False,
Jebbison,FWD,BOU,Bournemouth,4,1,1,0,,False,
Jensen,MID,BRE,Brentford,6,2,3,2,,False,
Ji-soo,DEF,BRE,Brentford,4,2,0,0,,False,
Jocelin.T,MID,SUN,Sunderland,4,2,0,0,,False,
Joelinton,MID,NEW,Newcastle,4,2,2,1,,False,
John,GK,NFO,Nott'm Forest,4,3,0,0,,False,
Johnson,MID,EVE,Everton,6,2,2,1,,False,
Johnson,DEF,IPS,Ipswich Town,4,3,1,2,,False,
João Pedro,FWD,CHE,Chelsea,8,2,15,9,Revenge of the Fallen,False,
Justin,DEF,LEE,Leeds,4,2,2,1,,False,
Jörgensen,GK,CHE,Chelsea,4,2,0,0,,True,Has joined RC Strasbourg on loan for the rest of the season
Kalimuendo,FWD,NFO,Nott'm Forest,6,3,0,0,,False,
Kamada,MID,CRY,Crystal Palace,4,3,0,2,,False,
Kamara,MID,AVL,Aston Villa,4,1,1,3,,False,
Kamara,MID,HUL,Hull City,4,3,0,0,,True,Has joined Portsmouth permanently
Kayode,DEF,BRE,Brentford,4,2,1,2,,False,
Keane,DEF,EVE,Everton,4,2,3,1,,False,
Kelleher,GK,BRE,Brentford,4,2,0,0,Bane of Isakstence,False,
Kerkez,DEF,LIV,Liverpool,6,1,2,1,Annoying Sabui,False,
Kesler-Hayden,DEF,COV,Coventry City,4,3,0,0,,False,
Kevin,MID,FUL,Fulham,6,2,1,3,,False,
Khalaili,DEF,CRY,Crystal Palace,4,3,0,0,,False,
Khusanov,DEF,MCI,Man City,6,1,0,0,,False,
King,GK,EVE,Everton,4,2,0,0,,False,
King,MID,FUL,Fulham,6,2,1,3,,False,
Kinsky,GK,TOT,Spurs,4,3,0,0,,False,
Kipré,DEF,IPS,Ipswich Town,4,3,0,0,,False,
Kitching,DEF,COV,Coventry City,4,3,0,0,,False,
Kluivert,MID,BOU,Bournemouth,6,1,2,0,Annoying Sabui,False,
Konsa,DEF,ARS,Arsenal,4,1,0,1,Patchwork FC,False,
Kostoulas,FWD,BHA,Brighton,6,2,2,1,,False,
Koumas,MID,LIV,Liverpool,4,1,0,0,,False,
Kovačić,MID,MCI,Man City,6,1,0,1,,False,
Kroupi.Jr,MID,BOU,Bournemouth,8,1,13,0,Pune Paltan,False,
Kudus,MID,TOT,Spurs,8,3,2,6,,False,
Kulusevski,MID,TOT,Spurs,8,3,0,0,,False,
Kusi-Asare,FWD,FUL,Fulham,4,2,0,0,,False,
L.Miley,MID,NEW,Newcastle,6,2,1,4,,False,
Lacey,MID,MUN,Man Utd,4,1,0,0,,False,
Lacroix,DEF,CHE,Chelsea,6,2,1,2,Toxic Xhak-fruit,False,
Lammens,GK,MUN,Man Utd,4,1,0,0,,False,
Latibeaudiere,DEF,COV,Coventry City,4,3,0,0,,False,
Lavia,MID,CHE,Chelsea,4,2,0,0,,False,
Lecomte,GK,FUL,Fulham,4,2,0,0,,False,
Leno,GK,FUL,Fulham,4,2,0,0,,False,
Leoni,DEF,LIV,Liverpool,4,1,0,0,,False,
Lerma,MID,CRY,Crystal Palace,4,3,0,5,,False,
Lewis,DEF,MCI,Man City,4,1,0,1,,False,
Lewis-Potter,MID,BRE,Brentford,6,2,3,4,Revenge of the Fallen,False,
Lewis-Skelly,MID,ARS,Arsenal,6,1,0,0,,False,
Lienou,DEF,LEE,Leeds,4,2,0,0,,False,
Lindelöf,DEF,AVL,Aston Villa,4,1,0,1,,False,
Livramento,DEF,NEW,Newcastle,4,2,0,1,,False,
Lo-Tutala,GK,HUL,Hull City,4,3,0,0,,True,Has joined Colchester United on loan for the rest of the season
Longstaff,MID,LEE,Leeds,4,2,2,2,,False,
Lucky,DEF,LIV,Liverpool,4,1,0,0,,False,
Lukić,MID,IPS,Ipswich Town,4,3,1,4,,False,
Lynch,MID,AVL,Aston Villa,4,1,0,0,,False,
M.Bizot,GK,AVL,Aston Villa,4,1,0,0,,False,
M.França,MID,CRY,Crystal Palace,4,3,0,0,,False,
M.Sangaré,MID,BRE,Brentford,6,2,0,0,Cain & Abel,False,
M.Sarr,DEF,CHE,Chelsea,4,2,0,0,,True,Has joined Real Sociedad on loan for the rest of the season
Maatsen,DEF,AVL,Aston Villa,4,1,0,1,,False,
Mac Allister,MID,LIV,Liverpool,6,1,2,5,,False,
Maddison,MID,TOT,Spurs,6,3,0,0,,False,
Madjo,FWD,AVL,Aston Villa,6,1,0,0,,False,
Madueke,MID,ARS,Arsenal,6,1,3,1,,False,
Maeda,MID,IPS,Ipswich Town,6,3,0,0,,False,
Maguire,DEF,MUN,Man Utd,4,1,1,2,,False,
Mainoo,MID,MUN,Man Utd,6,1,1,2,,False,
Mamardashvili,GK,LIV,Liverpool,4,1,0,0,,False,
Manzambi,MID,AVL,Aston Villa,6,1,0,0,Patchwork FC,False,
Marc Guiu,FWD,CHE,Chelsea,4,2,0,1,,True,Has joined RB Leipzig permanently
Markelo,FWD,COV,Coventry City,4,3,0,0,,True,Has joined Shabab Al-Ahli Dubai permanently
Marmoush,FWD,TOT,Spurs,8,3,3,3,Patchwork FC,False,
Martinelli,MID,ARS,Arsenal,6,1,1,5,,False,
Martinez,DEF,MUN,Man Utd,4,1,0,0,,False,
Martinez,GK,CHE,Chelsea,4,2,0,1,,False,
Mason-Clark,MID,COV,Coventry City,6,3,0,0,,False,
Masuaku,DEF,SUN,Sunderland,4,2,0,0,,True,Has joined Konyaspor permanently
Matazo,MID,HUL,Hull City,4,3,0,0,,False,
Mateo Joseph,FWD,LEE,Leeds,4,2,0,0,,False,
Mateta,FWD,CRY,Crystal Palace,6,3,12,0,,False,
Matheus N.,DEF,MCI,Man City,6,1,1,8,,False,
Matthews,GK,CRY,Crystal Palace,4,3,0,0,,False,
Matusiwa,MID,IPS,Ipswich Town,4,3,0,0,,False,
Mazraoui,DEF,MUN,Man Utd,4,1,0,0,,False,
Mbeumo,MID,MUN,Man Utd,8,1,11,3,Bane of Isakstence,False,
McAidoo,MID,MCI,Man City,4,1,0,0,,False,
McAtee,MID,NFO,Nott'm Forest,6,3,0,1,,False,
McAteer,MID,IPS,Ipswich Town,4,3,1,1,,False,
McBurnie,FWD,HUL,Hull City,6,3,6,3,,False,
McCarthy,DEF,HUL,Hull City,4,3,0,0,,False,
McConnell,MID,LIV,Liverpool,4,1,0,0,,False,
McGinn,MID,AVL,Aston Villa,6,1,5,4,,False,
McNair,DEF,HUL,Hull City,4,3,0,0,,False,
McNally,GK,FUL,Fulham,4,2,0,0,,True,Has joined York City on loan for the rest of the season
McNeil,MID,CRY,Crystal Palace,6,3,0,3,,False,
Mehmeti,MID,IPS,Ipswich Town,4,3,0,0,,False,
Mendy,DEF,HUL,Hull City,4,3,0,0,,False,
Merino,MID,ARS,Arsenal,6,1,4,3,,False,
Meslier,GK,ARS,Arsenal,4,1,0,0,,False,
Methalie,DEF,SUN,Sunderland,4,2,0,0,,False,
Meunier,DEF,SUN,Sunderland,4,2,0,0,,False,
Mheuka,FWD,CHE,Chelsea,4,2,0,0,,False,
Milambo,MID,BRE,Brentford,4,2,0,0,,False,
Milenković,DEF,NFO,Nott'm Forest,6,3,0,1,,False,
Millar,MID,HUL,Hull City,4,3,0,0,,False,
Milosavljević,DEF,BOU,Bournemouth,4,1,0,0,,False,
Mings,DEF,AVL,Aston Villa,4,1,0,1,,False,
Mingueza,DEF,CRY,Crystal Palace,4,3,0,0,,False,
Minteh,MID,BHA,Brighton,6,2,3,8,,False,
Mitchell,DEF,CRY,Crystal Palace,4,3,1,3,,False,
Mitoma,MID,BHA,Brighton,6,2,3,1,,False,
Monga,MID,MCI,Man City,4,1,0,0,,False,
Moore,MID,TOT,Spurs,4,3,0,0,,False,
Morato,DEF,NFO,Nott'm Forest,4,3,1,0,,False,
Morita,MID,HUL,Hull City,4,3,0,0,,False,
Mosquera,DEF,ARS,Arsenal,6,1,0,0,,False,
Mount,MID,MUN,Man Utd,6,1,3,0,,False,
Mudryk,MID,CHE,Chelsea,4,2,0,0,,False,
Muharemović,DEF,LEE,Leeds,4,2,0,0,Cain & Abel,False,
Mukasa,MID,MCI,Man City,4,1,0,0,,False,
